Mass,RT
220.0135,2.09
220.0213,3.53
220.0745,2.76
220.1098,3.78
220.1099,3.34
220.1311,2.99
220.1459,6.63
220.146,4.75
220.146,6.05
220.1824,10.3
220.9913,3.23
220.9926,4.3
221.0085,3.12
221.103,1.19
221.9664,3.86
222.0033,1.88
222.0108,3.72
222.0152,3.08
222.0374,3.34
222.0556,10.87
222.0888,1.13
222.0891,3.58
222.0892,2.3
222.1255,3.33
222.1278,4.61
222.1286,5.98
222.1617,7.15
222.1617,8.95
222.1977,5.81
222.9882,3.23
223.0302,2.75
223.084,1.2
223.165,7.22
224.0274,2.68
224.0347,5.9
224.035,4.75
224.035,8.52
224.035,9.1
224.0351,2.86
224.0352,10.7
224.0353,6.81
224.0537,3.16
224.0686,2.79
224.1047,2.87
224.1181,3.84
224.141,3.3
224.141,3.87
224.141,6.91
224.1411,7.86
224.1772,5.15
224.1773,8.04
224.8051,11.09
224.9632,4.17
224.9843,3.23
225.027,2.74
225.0357,6.07
225.0357,10.71
225.0358,4.8
225.0358,9.03
225.0358,10.76
225.0359,6.81
225.1365,4.29
225.9931,1.2
226.0001,1.51
226.006,3.41
226.0145,7.15
226.0146,10.51
226.0279,2.74
226.0321,2.8
226.0324,4.77
226.0326,9.47
226.0326,10.71
226.0327,10.04
226.0328,6.82
226.0329,5.87
226.0494,3.24
226.0689,4.12
226.0789,4.46
226.0842,2.49
226.0843,1.15
226.0987,2.75
226.1025,2.89
226.1183,4.68
226.1203,3.16
226.1566,4.76
226.1567,4.49
226.1682,2.48
226.1928,5.8
226.1929,8.88
226.1929,9.99
226.8025,11.1
227.0034,6.83
227.0151,10.51
227.0333,6.81
227.0333,10.73
227.0702,4.13
227.0942,5.52
227.1217,2.55
227.1518,9.72
227.152,3.64
227.4432,9.83
228.002,3.42
228.0121,10.52
228.0455,3.32
228.0584,5.43
228.0585,4.5
228.0667,4.14
228.0757,4.32
228.0816,4.81
228.0995,10.58
228.0997,1.14
228.0997,2.65
228.1147,6.53
228.1358,4.26
228.1359,3.51
228.1722,5.54
228.1723,4.9
228.2085,9.83
228.2086,10.52
228.9749,3.12
229.1181,6.53
229.1315,2.33
229.1393,3.65
229.1674,5.39
229.1676,3.7
229.212,9.84
229.212,10.59
229.9568,3.43
229.9812,3.64
230.0553,5.41
230.0555,4.51
230.0609,3.08
230.0781,4.78
230.0791,1.15
230.0954,3.44
230.1152,1.14
230.1152,2.82
230.1514,3.53
230.1515,2.92
230.1515,4.16
230.1516,4.75
230.1628,2.16
230.1705,3.7
230.1873,5.42
230.2031,8.09
231.147,3.48
231.9627,3.67
231.9933,4.74
231.9934,5.49
232.0524,4.52
232.0751,2.78
232.0844,4.45
232.0852,2.36
232.0946,3.56
232.1101,3.26
232.1307,2.77
232.1307,3.57
232.1312,4.11
232.1668,6.57
232.1669,2.91
232.1672,3.77
232.1672,4.36
233.9488,1.07
233.9588,3.64
233.9911,5.13
234.0551,2.28
234.0889,1.2
234.0901,4.65
234.0903,3.3
234.0905,2.76
234.1254,3.34
234.1254,3.86
234.1257,4.65
234.1465,3.42
234.1616,4.94
234.1616,5.64
234.1616,9.27
234.162,7.97
235.0068,3.99
235.0848,2.66
235.165,9.27
235.9461,1.08
235.9874,4.49
235.988,5.54
235.9881,6.53
236.0504,4.35
236.1052,2.85
236.1058,3.39
236.1221,3.29
236.1284,6.67
236.141,3.83
236.141,4.58
236.1414,8.93
236.1429,5.18
236.1442,6.45
236.1765,8.71
236.1769,5.55
237.0036,3.98
237.0456,3.46
237.064,2.3
237.0999,2.35
237.1007,3.38
237.1032,4.55
237.9702,3.76
237.9862,4.59
238.0026,5.58
238.0471,4.29
238.084,5.99
238.0844,2.72
238.0846,1.17
238.1062,4.55
238.1202,4.48
238.1204,3.04
238.1337,4.08
238.1563,5.33
238.1565,4
238.1565,4.64
238.1572,6.82
238.1926,5.62
238.193,8.62
239.006,5.59
239.0225,4.85
239.0998,4.56
239.1597,3.79
240.0018,3.99
240.006,3.39
240.0304,8.54
240.0456,3.08
240.0663,3.21
240.0663,8.75
240.0665,10.68
240.0667,6.81
240.0667,7.7
240.0837,10.89
240.0848,5.26
240.0946,5.03
240.0994,3.25
240.0996,1.16
240.0996,2.57
240.1359,3.57
240.1359,5.95
240.136,5.31
240.1361,6.61
240.1698,8.3
240.1721,4.87
240.1722,5.94
240.2085,9.52
240.2087,5.99
240.9748,3.86
241.0187,4.85
241.0672,9.13
241.0672,10.71
241.0674,6.81
241.0674,7.7
241.0679,3.13
241.1045,1.16
241.1392,5.95
241.9716,1.83
241.9809,3.88
242.0175,3.86
242.0178,3.2
242.0186,4.8
242.0457,4.67
242.0458,9.61
242.0467,10.78
242.0614,4.25
242.0635,8.77
242.0636,3.15
242.064,10.77
242.0642,10.66
242.0643,6.81
242.0644,7.68
242.0792,1.18
242.0795,5.94
242.08,4.38
242.0813,10.82
242.0816,3.32
242.0862,1.23
242.0906,1.22
242.0919,5.1
242.0972,5.38
242.1152,2.54
242.1153,2.75
242.1153,4.46
242.1515,3.77
242.1515,4.54
242.1879,5.81
242.1879,6.51
242.2242,10.53
243.0463,5.09
243.0463,9.61
243.0649,10.71
243.0651,2.76
243.0652,6.81
243.1163,1.54
243.1182,2.71
243.1833,4.3
243.9624,3.8
243.9933,5.14
243.9966,2.56
244.0403,3.27
244.0432,5.12
244.0616,10.71
244.0623,6.8
244.0731,4.51
244.0733,3.88
244.0737,2.54
244.0763,3.54
244.0944,1.17
244.0944,2.53
244.1106,4
244.1308,1.14
244.1308,2.69
244.1309,3.23
244.1671,3.79
244.1671,4.05
244.1784,2.68
244.1867,4.3
244.2035,6.15
244.2036,7.12
245.1632,4.01
245.1708,3.86
245.9926,3.94
246.0547,3.17
246.09,2.81
246.0906,3.06
246.1002,2.5
246.1253,3.5
246.1256,4.09
246.1464,3.33
246.1466,5.09
246.183,4.33
246.1832,5.46
247.1154,2.72
247.121,4.46
